"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0세","2024년06월_계_1세","2024년06월_계_2세","2024년06월_계_3세","2024년06월_계_4세","2024년06월_계_5세","2024년06월_계_6세","2024년06월_계_7세","2024년06월_계_8세","2024년06월_계_9세","2024년06월_계_10세","2024년06월_계_11세","2024년06월_계_12세","2024년06월_계_13세","2024년06월_계_14세","2024년06월_계_15세","2024년06월_계_16세","2024년06월_계_17세","2024년06월_계_18세","2024년06월_계_19세","2024년06월_계_20세","2024년06월_계_21세","2024년06월_계_22세","2024년06월_계_23세","2024년06월_계_24세","2024년06월_계_25세","2024년06월_계_26세","2024년06월_계_27세","2024년06월_계_28세","2024년06월_계_29세","2024년06월_계_30세","2024년06월_계_31세","2024년06월_계_32세","2024년06월_계_33세","2024년06월_계_34세","2024년06월_계_35세","2024년06월_계_36세","2024년06월_계_37세","2024년06월_계_38세","2024년06월_계_39세","2024년06월_계_40세","2024년06월_계_41세","2024년06월_계_42세","2024년06월_계_43세","2024년06월_계_44세","2024년06월_계_45세","2024년06월_계_46세","2024년06월_계_47세","2024년06월_계_48세","2024년06월_계_49세","2024년06월_계_50세","2024년06월_계_51세","2024년06월_계_52세","2024년06월_계_53세","2024년06월_계_54세","2024년06월_계_55세","2024년06월_계_56세","2024년06월_계_57세","2024년06월_계_58세","2024년06월_계_59세","2024년06월_계_60세","2024년06월_계_61세","2024년06월_계_62세","2024년06월_계_63세","2024년06월_계_64세","2024년06월_계_65세","2024년06월_계_66세","2024년06월_계_67세","2024년06월_계_68세","2024년06월_계_69세","2024년06월_계_70세","2024년06월_계_71세","2024년06월_계_72세","2024년06월_계_73세","2024년06월_계_74세","2024년06월_계_75세","2024년06월_계_76세","2024년06월_계_77세","2024년06월_계_78세","2024년06월_계_79세","2024년06월_계_80세","2024년06월_계_81세","2024년06월_계_82세","2024년06월_계_83세","2024년06월_계_84세","2024년06월_계_85세","2024년06월_계_86세","2024년06월_계_87세","2024년06월_계_88세","2024년06월_계_89세","2024년06월_계_90세","2024년06월_계_91세","2024년06월_계_92세","2024년06월_계_93세","2024년06월_계_94세","2024년06월_계_95세","2024년06월_계_96세","2024년06월_계_97세","2024년06월_계_98세","2024년06월_계_99세","2024년06월_계_100세 이상"
"전국  (0000000000)","51,271,480","51,271,480","222,054","245,710","258,498","273,549","293,423","320,553","348,657","386,949","432,331","446,785","440,141","468,830","478,248","487,826","452,146","458,291","492,213","463,288","441,003","449,351","482,891","485,532","520,638","603,953","628,883","622,105","656,997","674,840","698,026","698,550","709,076","722,786","716,163","655,477","643,549","628,216","611,002","621,170","642,931","642,942","701,394","774,724","833,467","837,405","835,467","762,479","754,456","745,026","761,641","805,434","875,186","890,269","892,466","928,458","892,318","939,223","845,162","818,247","822,430","826,410","744,281","863,908","802,348","932,974","872,323","782,524","736,474","687,693","646,328","663,023","519,136","502,429","493,048","386,559","427,339","402,318","397,964","383,763","257,447","293,998","278,064","311,472","298,355","237,028","214,840","198,138","166,370","147,486","126,786","105,240","81,132","63,667","50,164","35,435","28,396","21,765","15,074","10,141","6,081","4,012","8,722"
"서울특별시  (1100000000)","9,366,283","9,366,283","37,461","39,642","41,067","43,089","45,114","48,661","52,273","57,940","64,865","67,342","65,963","71,062","72,255","73,959","69,868","71,228","77,444","73,919","72,665","79,480","89,507","92,064","102,695","125,816","135,982","141,632","154,772","160,863","166,768","166,015","167,171","168,455","164,246","147,933","140,841","136,145","127,881","127,372","128,071","125,656","134,076","141,507","150,272","150,216","149,164","135,300","132,215","132,721","132,955","141,421","152,392","156,235","158,824","163,793","155,818","158,920","142,128","134,938","135,110","137,553","127,021","142,856","132,100","152,515","147,242","134,623","129,339","121,167","115,921","120,430","95,608","92,723","88,288","70,574","79,594","74,294","74,840","73,383","50,667","54,382","50,631","54,595","52,005","40,376","35,221","31,898","26,309","22,916","19,390","15,590","12,042","9,350","7,375","5,270","4,361","3,474","2,428","1,666","918","650","1,511"
"부산광역시  (2600000000)","3,280,749","3,280,749","12,178","13,726","14,790","15,318","16,734","18,378","20,814","23,143","26,080","26,717","25,975","27,429","27,790","28,005","25,357","25,501","27,116","25,314","24,492","25,901","28,612","29,647","32,376","38,484","39,463","37,643","39,248","40,316","41,108","41,129","41,758","42,796","42,691","38,669","38,756","37,108","36,047","36,310","37,517","38,258","42,302","46,864","51,195","52,724","52,901","47,061","45,932","44,285","45,454","48,836","52,620","53,796","54,488","56,559","55,083","58,286","53,440","51,875","52,619","51,518","48,806","58,486","56,174","65,980","62,010","57,441","55,416","53,715","51,155","52,857","41,551","41,278","40,115","32,382","35,259","33,379","31,891","29,677","19,117","23,321","21,188","23,290","21,142","17,254","15,104","13,451","10,568","9,458","7,760","6,377","4,779","3,566","2,984","1,951","1,509","1,284","933","582","364","224","439"
"대구광역시  (2700000000)","2,367,183","2,367,183","9,364","10,248","11,229","11,727","13,305","14,489","16,260","18,339","20,221","20,723","20,333","21,573","22,097","22,226","20,427","20,716","22,498","21,258","20,517","21,033","23,147","23,472","24,752","28,360","29,458","27,334","28,733","29,297","30,006","29,643","30,154","30,709","30,927","27,876","28,198","26,780","25,669","26,527","27,365","26,982","29,990","33,712","36,491","37,327","37,154","34,159","33,650","34,620","35,136","37,648","40,838","42,017","42,382","43,551","43,311","44,959","42,224","40,340","40,118","39,971","36,646","41,943","39,744","44,381","41,796","37,428","33,567","33,105","31,270","31,086","24,752","26,279","25,512","19,378","20,965","21,153","19,477","17,846","10,740","13,515","14,110","15,486","14,049","11,422","10,315","9,079","7,710","6,712","5,775","4,873","3,547","2,751","2,233","1,493","1,079","825","577","380","217","137","260"
"인천광역시  (2800000000)","3,011,073","3,011,073","13,954","15,583","16,607","17,043","18,353","20,164","21,020","23,351","25,883","26,779","25,973","27,658","28,452","28,989","26,511","26,982","28,809","27,105","25,674","25,626","27,796","27,774","29,951","34,561","36,358","36,493","39,135","40,510","42,093","42,848","44,424","45,864","46,249","42,257","41,109","40,125","38,444","38,879","40,730","40,284","43,877","48,239","51,885","51,939","51,798","46,282","46,032","44,437","45,173","48,195","51,394","52,802","52,591","54,611","52,544","55,304","50,000","48,449","49,413","51,041","45,892","53,120","48,560","54,979","51,314","45,422","42,576","38,379","35,318","35,687","27,448","25,714","24,726","18,480","21,550","19,964","19,782","19,640","13,178","13,947","13,395","14,603","13,819","10,885","9,657","9,303","7,726","6,717","5,914","4,879","3,779","3,149","2,420","1,793","1,426","1,163","755","535","334","247","492"
"광주광역시  (2900000000)","1,413,606","1,413,606","5,742","6,998","7,639","8,194","8,722","9,493","10,595","11,842","13,222","13,511","13,608","14,669","14,779","15,234","14,322","14,558","15,534","14,944","14,229","14,351","15,576","16,089","17,075","19,340","19,609","18,990","19,693","19,777","20,090","19,918","19,554","19,518","19,001","17,194","16,488","15,796","15,636","16,179","17,083","17,224","19,445","21,970","23,812","23,075","23,699","22,162","21,795","22,377","21,723","23,509","25,501","25,895","25,115","26,456","24,619","26,056","23,143","22,212","22,934","21,051","19,636","22,034","19,094","22,458","21,658","19,206","17,821","15,821","14,628","15,325","11,955","11,240","11,750","10,432","10,811","10,219","10,120","9,907","6,931","7,504","6,404","7,505","7,456","5,707","5,039","4,414","3,944","3,389","2,787","2,415","1,866","1,419","1,110","826","745","491","320","224","146","83","201"
"대전광역시  (3000000000)","1,440,558","1,440,558","6,863","7,855","7,724","7,974","8,207","9,080","9,927","11,148","12,266","12,785","12,652","13,405","13,696","14,121","13,219","13,352","14,565","13,930","13,509","14,233","15,638","15,872","17,640","20,093","20,533","20,454","21,122","21,903","21,761","21,536","21,358","21,440","20,785","19,238","18,499","17,637","17,458","17,348","17,840","17,461","18,903","21,036","22,674","23,015","22,543","21,241","21,267","21,174","21,700","22,700","25,279","25,407","25,090","26,233","25,028","27,239","23,770","22,463","21,276","22,804","19,083","22,510","21,546","25,417","23,324","20,123","19,176","18,081","17,144","17,546","13,584","12,613","12,583","9,751","11,068","10,291","9,591","9,232","6,223","7,217","6,932","7,470","7,320","5,385","5,023","4,744","4,006","3,433","2,943","2,499","1,968","1,507","1,198","818","703","517","356","229","136","81","218"
"울산광역시  (3100000000)","1,100,304","1,100,304","4,876","5,200","5,715","6,301","6,840","7,516","8,361","9,458","10,632","10,964","10,995","11,356","11,442","11,717","10,724","10,935","11,599","10,849","9,974","9,487","9,919","9,492","10,107","11,466","12,112","11,846","12,975","13,556","13,985","14,010","14,003","14,397","14,416","13,497","13,562","13,174","12,795","13,165","13,766","13,794","15,488","17,339","18,912","19,089","19,296","17,360","17,111","16,430","16,627","17,840","19,024","19,645","20,155","20,749","20,762","22,230","20,596","20,195","20,735","20,168","17,753","20,235","18,834","21,476","19,132","17,375","15,926","14,698","13,600","13,525","10,633","10,228","9,554","7,722","7,730","7,319","6,848","6,016","3,747","4,586","4,188","4,825","4,067","3,216","2,952","2,602","2,113","1,871","1,497","1,329","1,068","772","629","417","313","258","171","135","77","49","89"
"세종특별자치시  (3600000000)","387,940","387,940","2,596","3,006","3,432","3,650","3,879","4,409","4,750","5,155","5,689","5,807","5,555","5,738","5,812","5,775","5,324","5,208","5,302","4,733","4,198","3,724","3,731","3,407","3,307","3,545","3,568","3,512","3,564","3,828","4,228","4,465","5,009","5,349","5,775","5,678","5,816","5,862","6,057","6,384","6,460","6,693","7,134","8,038","8,836","8,546","8,558","7,729","7,332","7,036","6,924","6,982","7,075","6,651","6,442","6,353","5,570","5,708","4,932","4,466","4,133","4,532","3,766","4,333","4,015","4,746","4,236","3,778","3,514","3,246","3,100","3,161","2,418","2,159","2,142","1,663","1,880","1,751","1,473","1,473","963","1,148","1,096","1,185","1,150","944","852","773","673","630","577","523","396","308","222","191","141","120","92","58","32","16","39"
"경기도  (4100000000)","13,661,438","13,661,438","66,891","75,409","78,777","82,799","88,033","95,882","103,016","113,945","126,897","130,768","127,620","135,520","137,483","140,005","129,189","130,719","139,899","130,728","123,611","124,665","131,343","130,511","140,217","163,083","171,214","170,860","179,418","182,688","190,711","192,427","197,464","202,693","203,555","187,623","184,212","182,230","178,074","180,284","187,228","187,189","202,551","224,101","241,436","241,671","239,867","217,443","214,397","211,162","215,131","224,577","243,222","245,426","247,223","254,486","242,041","252,088","223,114","215,883","214,723","217,181","193,228","219,783","200,802","229,052","210,732","188,784","175,039","158,719","147,182","149,820","115,758","110,737","105,185","79,486","89,403","83,558","85,083","83,441","57,679","63,219","58,964","63,802","61,693","49,953","44,349","40,859","34,883","30,923","26,284","21,840","16,894","13,286","10,377","7,502","6,100","4,683","3,304","2,224","1,371","909","1,945"
